date,name
2024-12-02,Free Entry
2024-11-17,Tropical Weekends
2024-11-16,Tropical Weekends
2024-11-10,Tropical Weekends
2024-11-09,Tropical Weekends
2024-11-17,Tropical Weekends
2024-11-04,Free Entry
2024-10-12,Autumn Holiday
2024-10-07,Free Entry
2024-09-14,Cats Night
2024-09-11,Cats Night
2024-09-07,Cats Night
2024-09-14,Cats Night
2024-03-29,Easter Island
2024-03-18,Free Entry
2024-02-25,Winter Holiday
2024-02-24,Winter Holiday
2024-02-23,Winter Holiday
2024-02-22,Winter Holiday
2024-02-21,Winter Holiday
2024-02-20,Winter Holiday
2024-02-19,Winter Holiday
2024-02-18,Winter Holiday
2024-02-17,Winter Holiday
2024-02-25,Winter Holiday
2024-02-12,Free Entry
2024-01-15,Free Entry
2024-01-07,Lux
2024-01-06,Lux
2024-01-05,Lux
2024-01-04,Lux
2024-01-03,Lux
2024-01-02,Lux
2024-01-01,Lux
2023-12-31,Lux
2023-12-30,Lux
2024-01-07,Lux
2023-11-13,Free Entry
2023-10-22,Autumn Holiday
2023-10-21,Autumn Holiday
2023-10-20,Autumn Holiday
2023-10-19,Autumn Holiday
2023-10-18,Autumn Holiday
2023-10-17,Autumn Holiday
2023-10-16,Autumn Holiday
2023-10-15,Autumn Holiday
2023-10-14,Autumn Holiday
2023-10-22,Autumn Holiday
2023-10-09,Free Entry
2023-09-09,Cats Night
2023-09-02,Cats Night
2023-09-09,Cats Night
2023-06-02,Other Event
2023-04-10,Easter Island
2023-04-09,Easter Island
2023-04-08,Easter Island
2023-04-07,Easter Island
2023-04-10,Easter Island
2023-02-18,Winter Holiday
2023-01-08,Lux
2023-01-07,Lux
2023-01-06,Lux
2023-01-05,Lux
2023-01-04,Lux
2023-01-03,Lux
2023-01-02,Lux
2023-01-01,Lux
2022-12-31,Lux
2022-12-30,Lux
2022-12-29,Lux
2022-12-28,Lux
2022-12-27,Lux
2022-12-26,Lux
2023-01-08,Lux
2022-11-27,Tropical Weekends
2022-11-26,Tropical Weekends
2022-11-20,Tropical Weekends
2022-11-19,Tropical Weekends
