Date,Vacation
2017-12-23,Christmas Holiday
2017-12-24,Christmas Holiday
2017-12-25,Christmas Holiday
2017-12-26,Christmas Holiday
2017-12-27,Christmas Holiday
2017-12-28,Christmas Holiday
2017-12-29,Christmas Holiday
2017-12-30,Christmas Holiday
2017-12-31,Christmas Holiday
2018-01-01,Christmas Holiday
2018-01-02,Christmas Holiday
2018-01-03,Christmas Holiday
2018-01-04,Christmas Holiday
2018-01-05,Christmas Holiday
2018-01-06,Christmas Holiday
2018-01-07,Christmas Holiday
2018-02-19,Winter Holiday
2018-02-20,Winter Holiday
2018-02-21,Winter Holiday
2018-02-22,Winter Holiday
2018-02-23,Winter Holiday
2018-02-24,Winter Holiday
2018-02-25,Winter Holiday
2018-03-29,Easter Holiday
2018-03-30,Easter Holiday
2018-03-31,Easter Holiday
2018-04-01,Easter Holiday
2018-04-02,Easter Holiday
2018-04-03,Easter Holiday
2018-04-30,Spring Holiday
2018-05-01,Spring Holiday
2018-05-02,Spring Holiday
2018-05-03,Spring Holiday
2018-05-04,Spring Holiday
2018-05-05,Spring Holiday
2018-05-06,Spring Holiday
2018-06-02,Summer Holiday
2018-06-03,Summer Holiday
2018-06-04,Summer Holiday
2018-06-05,Summer Holiday
2018-06-06,Summer Holiday
2018-06-07,Summer Holiday
2018-06-08,Summer Holiday
2018-06-09,Summer Holiday
2018-06-10,Summer Holiday
2018-06-11,Summer Holiday
2018-06-12,Summer Holiday
2018-06-13,Summer Holiday
2018-06-14,Summer Holiday
2018-06-15,Summer Holiday
2018-06-16,Summer Holiday
2018-06-17,Summer Holiday
2018-06-18,Summer Holiday
2018-06-19,Summer Holiday
2018-06-20,Summer Holiday
2018-06-21,Summer Holiday
2018-06-22,Summer Holiday
2018-06-23,Summer Holiday
2018-06-24,Summer Holiday
2018-06-25,Summer Holiday
2018-06-26,Summer Holiday
2018-06-27,Summer Holiday
2018-06-28,Summer Holiday
2018-06-29,Summer Holiday
2018-06-30,Summer Holiday
2018-07-01,Summer Holiday
2018-07-02,Summer Holiday
2018-07-03,Summer Holiday
2018-07-04,Summer Holiday
2018-07-05,Summer Holiday
2018-07-06,Summer Holiday
2018-07-07,Summer Holiday
2018-07-08,Summer Holiday
2018-07-09,Summer Holiday
2018-07-10,Summer Holiday
2018-07-11,Summer Holiday
2018-07-12,Summer Holiday
2018-07-13,Summer Holiday
2018-07-14,Summer Holiday
2018-07-15,Summer Holiday
2018-07-16,Summer Holiday
2018-07-17,Summer Holiday
2018-07-18,Summer Holiday
2018-07-19,Summer Holiday
2018-07-20,Summer Holiday
2018-07-21,Summer Holiday
2018-07-22,Summer Holiday
2018-07-23,Summer Holiday
2018-07-24,Summer Holiday
2018-07-25,Summer Holiday
2018-07-26,Summer Holiday
2018-07-27,Summer Holiday
2018-07-28,Summer Holiday
2018-07-29,Summer Holiday
2018-07-30,Summer Holiday
2018-07-31,Summer Holiday
2018-08-01,Summer Holiday
2018-08-02,Summer Holiday
2018-08-03,Summer Holiday
2018-08-04,Summer Holiday
2018-08-05,Summer Holiday
2018-08-06,Summer Holiday
2018-08-07,Summer Holiday
2018-08-08,Summer Holiday
2018-08-09,Summer Holiday
2018-08-10,Summer Holiday
2018-08-11,Summer Holiday
2018-08-12,Summer Holiday
2018-10-15,Autumn Holiday
2018-10-16,Autumn Holiday
2018-10-17,Autumn Holiday
2018-10-18,Autumn Holiday
2018-10-19,Autumn Holiday
2018-10-20,Autumn Holiday
2018-10-21,Autumn Holiday
2018-12-22,Christmas Holiday
2018-12-23,Christmas Holiday
2018-12-24,Christmas Holiday
2018-12-25,Christmas Holiday
2018-12-26,Christmas Holiday
2018-12-27,Christmas Holiday
2018-12-28,Christmas Holiday
2018-12-29,Christmas Holiday
2018-12-30,Christmas Holiday
2018-12-31,Christmas Holiday
2019-01-01,Christmas Holiday
2019-01-02,Christmas Holiday
2019-01-03,Christmas Holiday
2019-01-04,Christmas Holiday
2019-01-05,Christmas Holiday
2019-01-06,Christmas Holiday
2019-02-18,Winter Holiday
2019-02-19,Winter Holiday
2019-02-20,Winter Holiday
2019-02-21,Winter Holiday
2019-02-22,Winter Holiday
2019-02-23,Winter Holiday
2019-02-24,Winter Holiday
2019-04-18,Easter Holiday
2019-04-19,Easter Holiday
2019-04-20,Easter Holiday
2019-04-21,Easter Holiday
2019-04-22,Easter Holiday
2019-04-23,Easter Holiday
2019-04-29,Spring Holiday
2019-04-30,Spring Holiday
2019-05-01,Spring Holiday
2019-05-02,Spring Holiday
2019-05-03,Spring Holiday
2019-05-04,Spring Holiday
2019-05-05,Spring Holiday
2019-06-01,Summer Holiday
2019-06-02,Summer Holiday
2019-06-03,Summer Holiday
2019-06-04,Summer Holiday
2019-06-05,Summer Holiday
2019-06-06,Summer Holiday
2019-06-07,Summer Holiday
2019-06-08,Summer Holiday
2019-06-09,Summer Holiday
2019-06-10,Summer Holiday
2019-06-11,Summer Holiday
2019-06-12,Summer Holiday
2019-06-13,Summer Holiday
2019-06-14,Summer Holiday
2019-06-15,Summer Holiday
2019-06-16,Summer Holiday
2019-06-17,Summer Holiday
2019-06-18,Summer Holiday
2019-06-19,Summer Holiday
2019-06-20,Summer Holiday
2019-06-21,Summer Holiday
2019-06-22,Summer Holiday
2019-06-23,Summer Holiday
2019-06-24,Summer Holiday
2019-06-25,Summer Holiday
2019-06-26,Summer Holiday
2019-06-27,Summer Holiday
2019-06-28,Summer Holiday
2019-06-29,Summer Holiday
2019-06-30,Summer Holiday
2019-07-01,Summer Holiday
2019-07-02,Summer Holiday
2019-07-03,Summer Holiday
2019-07-04,Summer Holiday
2019-07-05,Summer Holiday
2019-07-06,Summer Holiday
2019-07-07,Summer Holiday
2019-07-08,Summer Holiday
2019-07-09,Summer Holiday
2019-07-10,Summer Holiday
2019-07-11,Summer Holiday
2019-07-12,Summer Holiday
2019-07-13,Summer Holiday
2019-07-14,Summer Holiday
2019-07-15,Summer Holiday
2019-07-16,Summer Holiday
2019-07-17,Summer Holiday
2019-07-18,Summer Holiday
2019-07-19,Summer Holiday
2019-07-20,Summer Holiday
2019-07-21,Summer Holiday
2019-07-22,Summer Holiday
2019-07-23,Summer Holiday
2019-07-24,Summer Holiday
2019-07-25,Summer Holiday
2019-07-26,Summer Holiday
2019-07-27,Summer Holiday
2019-07-28,Summer Holiday
2019-07-29,Summer Holiday
2019-07-30,Summer Holiday
2019-07-31,Summer Holiday
2019-08-01,Summer Holiday
2019-08-02,Summer Holiday
2019-08-03,Summer Holiday
2019-08-04,Summer Holiday
2019-08-05,Summer Holiday
2019-08-06,Summer Holiday
2019-08-07,Summer Holiday
2019-08-08,Summer Holiday
2019-08-09,Summer Holiday
2019-08-10,Summer Holiday
2019-08-11,Summer Holiday
2019-10-14,Autumn Holiday
2019-10-15,Autumn Holiday
2019-10-16,Autumn Holiday
2019-10-17,Autumn Holiday
2019-10-18,Autumn Holiday
2019-10-19,Autumn Holiday
2019-10-20,Autumn Holiday
2019-12-21,Christmas Holiday
2019-12-22,Christmas Holiday
2019-12-23,Christmas Holiday
2019-12-24,Christmas Holiday
2019-12-25,Christmas Holiday
