date,visitors,day_of_week
2022-01-01,2316,la
2022-01-02,2007,su
2022-01-03,1310,ma
2022-01-04,1090,ti
2022-01-05,1761,ke
2022-01-06,2861,to
2022-01-07,1908,pe
2022-01-08,2776,la
2022-01-09,2891,su
2022-01-10,41,ma
2022-01-11,41,ti
2022-01-12,67,ke
2022-01-13,101,to
2022-01-14,80,pe
2022-01-15,764,la
2022-01-16,388,su
2022-01-17,80,ma
2022-01-18,76,ti
2022-01-19,53,ke
2022-01-20,18,to
2022-01-21,72,pe
2022-01-22,649,la
2022-01-23,366,su
2022-01-24,33,ma
2022-01-25,180,ti
2022-01-26,95,ke
2022-01-27,90,to
2022-01-28,73,pe
2022-01-29,292,la
2022-01-30,160,su
2022-01-31,56,ma
2022-02-01,65,ti
2022-02-02,50,ke
2022-02-03,111,to
2022-02-04,101,pe
2022-02-05,141,la
2022-02-06,187,su
2022-02-07,55,ma
2022-02-08,97,ti
2022-02-09,96,ke
2022-02-10,95,to
2022-02-11,168,pe
2022-02-12,823,la
2022-02-13,255,su
2022-02-14,46,ma
2022-02-15,70,ti
2022-02-16,78,ke
2022-02-17,76,to
2022-02-18,301,pe
2022-02-19,382,la
2022-02-20,1029,su
2022-02-21,343,ma
2022-02-22,193,ti
2022-02-23,488,ke
2022-02-24,296,to
2022-02-25,155,pe
2022-02-26,1500,la
2022-02-27,1031,su
2022-02-28,253,ma
2022-03-01,268,ti
2022-03-02,171,ke
2022-03-03,445,to
2022-03-04,294,pe
2022-03-05,1302,la
2022-03-06,1326,su
2022-03-07,151,ma
2022-03-08,93,ti
2022-03-09,127,ke
2022-03-10,213,to
2022-03-11,214,pe
2022-03-12,1684,la
2022-03-13,1431,su
2022-03-14,229,ma
2022-03-15,189,ti
2022-03-16,191,ke
2022-03-17,207,to
2022-03-18,223,pe
2022-03-19,1535,la
2022-03-20,2124,su
2022-03-21,253,ma
2022-03-22,380,ti
2022-03-23,262,ke
2022-03-24,161,to
2022-03-25,267,pe
2022-03-26,427,la
2022-03-27,736,su
2022-03-28,125,ma
2022-03-29,118,ti
2022-03-30,260,ke
2022-03-31,175,to
2022-04-01,233,pe
2022-04-02,1321,la
2022-04-03,1222,su
2022-04-04,157,ma
2022-04-05,99,ti
2022-04-06,340,ke
2022-04-07,331,to
2022-04-08,211,pe
2022-04-09,730,la
2022-04-10,601,su
2022-04-11,366,ma
2022-04-12,672,ti
2022-04-13,632,ke
2022-04-14,505,to
2022-04-15,2618,pe
2022-04-16,4275,la
2022-04-17,4042,su
2022-04-18,3794,ma
2022-04-19,544,ti
2022-04-20,807,ke
2022-04-21,894,to
2022-04-22,904,pe
2022-04-23,2150,la
2022-04-24,2144,su
2022-04-25,827,ma
2022-04-26,1521,ti
2022-04-27,1736,ke
2022-04-28,1439,to
2022-04-29,1432,pe
2022-04-30,1525,la
2022-05-01,1563,su
2022-05-02,365,ma
2022-05-03,881,ti
2022-05-04,912,ke
2022-05-05,748,to
2022-05-06,1704,pe
2022-05-07,1725,la
2022-05-08,2415,su
2022-05-09,963,ma
2022-05-10,598,ti
2022-05-11,774,ke
2022-05-12,939,to
2022-05-13,888,pe
2022-05-14,2458,la
2022-05-15,2604,su
2022-05-16,838,ma
2022-05-17,1153,ti
2022-05-18,1620,ke
2022-05-19,1333,to
2022-05-20,1045,pe
2022-05-21,4102,la
2022-05-22,3965,su
2022-05-23,1507,ma
2022-05-24,1782,ti
2022-05-25,1689,ke
2022-05-26,805,to
2022-05-27,1243,pe
2022-05-28,2050,la
2022-05-29,2263,su
2022-05-30,1991,ma
2022-05-31,2091,ti
2022-06-01,2641,ke
2022-06-02,1643,to
2022-06-03,1507,pe
2022-06-04,1503,la
2022-06-05,4046,su
2022-06-06,2255,ma
2022-06-07,2717,ti
2022-06-08,1354,ke
2022-06-09,2224,to
2022-06-10,2324,pe
2022-06-11,7159,la
2022-06-12,5248,su
2022-06-13,2008,ma
2022-06-14,2598,ti
2022-06-15,2894,ke
2022-06-16,3291,to
2022-06-17,2633,pe
2022-06-18,1036,la
2022-06-19,5017,su
2022-06-20,1644,ma
2022-06-21,3391,ti
2022-06-22,2752,ke
2022-06-23,1971,to
2022-06-24,2980,pe
2022-06-25,4144,la
2022-06-26,1746,su
2022-06-27,1544,ma
2022-06-28,2362,ti
2022-06-29,2586,ke
2022-06-30,2136,to
2022-07-01,2231,pe
2022-07-02,2761,la
2022-07-03,2776,su
2022-07-04,4209,ma
2022-07-05,5864,ti
2022-07-06,5809,ke
2022-07-07,4905,to
2022-07-08,4286,pe
2022-07-09,5222,la
2022-07-10,5244,su
2022-07-11,5250,ma
2022-07-12,4822,ti
2022-07-13,5003,ke
2022-07-14,5481,to
2022-07-15,5863,pe
2022-07-16,6607,la
2022-07-17,3806,su
2022-07-18,5928,ma
2022-07-19,5191,ti
2022-07-20,7539,ke
2022-07-21,4942,to
2022-07-22,3395,pe
2022-07-23,6053,la
2022-07-24,2738,su
2022-07-25,5804,ma
2022-07-26,3996,ti
2022-07-27,5983,ke
2022-07-28,4016,to
2022-07-29,4351,pe
2022-07-30,5407,la
2022-07-31,4328,su
2022-08-01,3604,ma
2022-08-02,3776,ti
2022-08-03,4277,ke
2022-08-04,3225,to
2022-08-05,2910,pe
2022-08-06,3301,la
2022-08-07,4291,su
2022-08-08,1691,ma
2022-08-09,2741,ti
2022-08-10,2218,ke
2022-08-11,1528,to
2022-08-12,1847,pe
2022-08-13,4691,la
2022-08-14,2787,su
2022-08-15,1178,ma
2022-08-16,948,ti
2022-08-17,934,ke
2022-08-18,897,to
2022-08-19,1109,pe
2022-08-20,3369,la
2022-08-21,2553,su
2022-08-22,662,ma
2022-08-23,953,ti
2022-08-24,522,ke
2022-08-25,1379,to
2022-08-26,1261,pe
2022-08-27,3744,la
2022-08-28,2723,su
2022-08-29,368,ma
2022-08-30,605,ti
2022-08-31,514,ke
2022-09-01,387,to
2022-09-02,3448,pe
2022-09-03,7449,la
2022-09-04,1504,su
2022-09-05,232,ma
2022-09-06,397,ti
2022-09-07,367,ke
2022-09-08,380,to
2022-09-09,4722,pe
2022-09-10,9804,la
2022-09-11,2255,su
2022-09-12,384,ma
2022-09-13,228,ti
2022-09-14,137,ke
2022-09-15,156,to
2022-09-16,271,pe
2022-09-17,1242,la
2022-09-18,1702,su
2022-09-19,336,ma
2022-09-20,196,ti
2022-09-21,274,ke
2022-09-22,298,to
2022-09-23,413,pe
2022-09-24,1999,la
2022-09-25,1517,su
2022-09-26,216,ma
2022-09-27,308,ti
2022-09-28,312,ke
2022-09-29,81,to
2022-09-30,316,pe
2022-10-01,1509,la
2022-10-02,1252,su
2022-10-03,351,ma
2022-10-04,376,ti
2022-10-05,385,ke
2022-10-06,623,to
2022-10-07,615,pe
2022-10-08,374,la
2022-10-09,2141,su
2022-10-10,3552,ma
2022-10-11,286,ti
2022-10-12,894,ke
2022-10-13,404,to
2022-10-14,227,pe
2022-10-15,1014,la
2022-10-16,401,su
2022-10-17,1213,ma
2022-10-18,654,ti
2022-10-19,1334,ke
2022-10-20,1513,to
2022-10-21,1357,pe
2022-10-22,1671,la
2022-10-23,1389,su
2022-10-24,457,ma
2022-10-25,209,ti
2022-10-26,363,ke
2022-10-27,364,to
2022-10-28,519,pe
2022-10-29,458,la
2022-10-30,1157,su
2022-10-31,229,ma
2022-11-01,365,ti
2022-11-02,158,ke
2022-11-03,335,to
2022-11-04,247,pe
2022-11-05,878,la
2022-11-06,572,su
2022-11-07,1895,ma
2022-11-08,255,ti
2022-11-09,73,ke
2022-11-10,201,to
2022-11-11,269,pe
2022-11-12,1307,la
2022-11-13,1400,su
2022-11-14,129,ma
2022-11-15,177,ti
2022-11-16,135,ke
2022-11-17,170,to
2022-11-18,315,pe
2022-11-19,331,la
2022-11-20,284,su
2022-11-21,166,ma
2022-11-22,95,ti
2022-11-23,169,ke
2022-11-24,225,to
2022-11-25,223,pe
2022-11-26,406,la
2022-11-27,315,su
2022-11-28,125,ma
2022-11-29,127,ti
2022-11-30,89,ke
2022-12-01,82,to
2022-12-02,114,pe
2022-12-03,334,la
2022-12-04,440,su
2022-12-05,1999,ma
2022-12-06,422,ti
2022-12-07,38,ke
2022-12-08,140,to
2022-12-09,187,pe
2022-12-10,213,la
2022-12-11,271,su
2022-12-12,57,ma
2022-12-13,93,ti
2022-12-14,119,ke
2022-12-15,63,to
2022-12-16,123,pe
2022-12-17,299,la
2022-12-18,279,su
2022-12-19,87,ma
2022-12-20,94,ti
2022-12-21,43,ke
2022-12-22,153,to
2022-12-23,126,pe
